Transaction ID,Customer ID,Location,Payment Method,Category,Item,Quantity,Unit Price,Unit_Cost,Pre_Discount_Total,Discount_Rate,Total Spent,Date
TXN_490235,CUST_0175,In-store,Cash,Beverages,Energy Drink,63,2.99,1.62,188.37,0.044,180.08,2024-01-25
TXN_159495,CUST_0516,Online,Credit Card,Beverages,Bottled Water,38,1.05,0.55,39.9,0,39.9,2024-12-27
TXN_966263,CUST_0311,In-store,Cash,Beverages,Bottled Water,59,1.05,0.85,61.95,0,61.95,2023-08-20
TXN_703561,CUST_0322,In-store,Credit Card,Beverages,Tea Pack,50,2.86,1.83,143,0.041,137.14,2025-08-20
TXN_372997,CUST_0579,In-store,Credit Card,Beverages,Bottled Water,49,1.05,0.91,51.45,0,51.45,2024-08-07
TXN_158116,CUST_0135,In-store,Cash,Beverages,Energy Drink,12,2.99,2.15,35.88,0,35.88,2023-09-04
TXN_847823,CUST_0055,Online,Digital Wallet,Beverages,Energy Drink,49,2.99,1.96,146.51,0.033,141.68,2023-09-21
TXN_970778,CUST_0976,In-store,Cash,Beverages,Energy Drink,41,2.99,1.58,122.59,0.044,117.2,2025-08-15
TXN_902529,CUST_0543,In-store,Credit Card,Beverages,Soft Drink,45,2.2,1.51,99,0,99,2024-11-18
TXN_951291,CUST_0586,In-store,Credit Card,Beverages,Energy Drink,31,2.99,1.83,92.69,0,92.69,2024-12-02
TXN_152398,CUST_0531,In-store,Cash,Beverages,Energy Drink,14,2.99,1.59,41.86,0,41.86,2025-05-27
TXN_449575,CUST_0156,Online,Credit Card,Beverages,Soft Drink,20,2.2,1.69,44,0,44,2023-04-14
TXN_480308,CUST_0849,In-store,Digital Wallet,Beverages,Coffee Beans,17,2.65,2.36,45.05,0,45.05,2024-09-10
TXN_530167,CUST_0668,In-store,Cash,Beverages,Bottled Water,14,1.05,0.68,14.7,0,14.7,2024-08-05
TXN_782613,CUST_0147,In-store,Credit Card,Beverages,Energy Drink,35,2.99,1.85,104.65,0.06,98.37,2023-10-12
TXN_728503,CUST_0485,In-store,Cash,Beverages,Bottled Water,15,1.05,0.56,15.75,0,15.75,2023-09-10
TXN_310572,CUST_0599,Online,Credit Card,Beverages,Tea Pack,27,2.86,1.69,77.22,0,77.22,2024-09-26
TXN_440592,CUST_0020,Online,Digital Wallet,Beverages,Bottled Water,25,1.05,0.64,26.25,0,26.25,2025-01-18
TXN_294446,CUST_0269,In-store,Digital Wallet,Beverages,Soft Drink,15,2.2,1.4,33,0,33,2023-04-28
TXN_490392,CUST_0333,In-store,Credit Card,Beverages,Bottled Water,47,1.05,0.79,49.35,0,49.35,2024-03-06
TXN_622605,CUST_0555,Online,Credit Card,Beverages,Bottled Water,42,1.05,0.57,44.1,0,44.1,2023-06-28
TXN_203512,CUST_0907,Online,Credit Card,Beverages,Bottled Water,17,1.05,0.55,17.85,0,17.85,2024-08-22
TXN_796306,CUST_0944,In-store,Cash,Beverages,Coffee Beans,7,2.65,2.31,18.55,0,18.55,2023-06-12
TXN_176652,CUST_0911,Online,Digital Wallet,Beverages,Coffee Beans,18,2.65,2.17,47.7,0,47.7,2023-07-24
TXN_529876,CUST_0401,Online,Credit Card,Beverages,Tea Pack,10,2.86,1.75,28.6,0,28.6,2024-10-28
TXN_414075,CUST_0950,In-store,Cash,Beverages,Soft Drink,19,2.2,1.66,41.8,0,41.8,2023-10-01
TXN_211590,CUST_0306,In-store,Cash,Beverages,Bottled Water,5,1.05,0.77,5.25,0,5.25,2024-06-07
TXN_565351,CUST_0028,Online,Credit Card,Beverages,Bottled Water,40,1.05,0.84,42,0,42,2024-01-12
TXN_356414,CUST_0467,In-store,Digital Wallet,Beverages,Bottled Water,33,1.05,0.89,34.65,0,34.65,2024-11-07
TXN_108646,CUST_0260,Online,Credit Card,Beverages,Bottled Water,62,1.05,0.68,65.1,0,65.1,2023-09-09
TXN_414930,CUST_0534,Online,Credit Card,Beverages,Coffee Beans,7,2.65,2.03,18.55,0,18.55,2024-06-20
TXN_516254,CUST_0982,Online,Credit Card,Beverages,Tea Pack,16,2.86,2.35,45.76,0,45.76,2025-08-15
TXN_906062,CUST_0887,In-store,Cash,Beverages,Energy Drink,24,2.99,2.33,71.76,0,71.76,2024-01-23
TXN_834118,CUST_0101,In-store,Credit Card,Beverages,Soft Drink,25,2.2,1.91,55,0,55,2025-04-12
TXN_890736,CUST_0551,In-store,Digital Wallet,Beverages,Bottled Water,6,1.05,0.73,6.3,0,6.3,2023-08-13
TXN_619480,CUST_0802,Online,Digital Wallet,Beverages,Tea Pack,12,2.86,2.35,34.32,0,34.32,2024-08-22
TXN_460369,CUST_0353,Online,Credit Card,Beverages,Energy Drink,20,2.99,2.58,59.8,0,59.8,2024-08-04
TXN_618514,CUST_0300,Online,Credit Card,Beverages,Tea Pack,111,2.86,2.07,317.46,0.041,304.44,2024-10-10
TXN_859096,CUST_0682,In-store,Credit Card,Beverages,Coffee Beans,22,2.65,1.34,58.3,0,58.3,2023-12-28
TXN_594370,CUST_0296,Online,Credit Card,Beverages,Energy Drink,5,2.99,2.47,14.95,0,14.95,2024-06-24
TXN_646295,CUST_0353,Online,Credit Card,Beverages,Tea Pack,15,2.86,2.4,42.9,0,42.9,2023-10-03
TXN_741109,CUST_0908,In-store,Cash,Beverages,Coffee Beans,13,2.65,1.75,34.45,0,34.45,2023-01-24
TXN_487892,CUST_0130,In-store,Credit Card,Beverages,Tea Pack,18,2.86,1.69,51.48,0,51.48,2023-08-05
TXN_996265,CUST_0156,Online,Credit Card,Beverages,Tea Pack,34,2.86,2.55,97.24,0,97.24,2024-12-04
TXN_940923,CUST_0074,Online,Credit Card,Beverages,Energy Drink,9,2.99,2.15,26.91,0,26.91,2025-05-19
TXN_507846,CUST_0342,Online,Credit Card,Beverages,Coffee Beans,17,2.65,1.87,45.05,0,45.05,2023-09-15
TXN_134489,CUST_0465,In-store,Credit Card,Beverages,Bottled Water,15,1.05,0.92,15.75,0,15.75,2024-05-28
TXN_577162,CUST_0090,In-store,Credit Card,Beverages,Soft Drink,19,2.2,1.46,41.8,0,41.8,2023-04-26
TXN_417945,CUST_0579,Online,Credit Card,Beverages,Energy Drink,103,2.99,2.51,307.97,0.045,294.11,2023-06-23
TXN_671356,CUST_0455,Online,Credit Card,Beverages,Coffee Beans,31,2.65,2.07,82.15,0,82.15,2023-09-07
TXN_215874,CUST_0748,Online,Credit Card,Beverages,Tea Pack,6,2.86,2.54,17.16,0,17.16,2025-05-22
TXN_903966,CUST_0712,Online,Credit Card,Beverages,Coffee Beans,8,2.65,1.78,21.2,0,21.2,2024-10-03
TXN_881114,CUST_0980,In-store,Credit Card,Beverages,Soft Drink,14,2.2,1.9,30.8,0,30.8,2023-09-25
TXN_808724,CUST_0332,Online,Credit Card,Beverages,Soft Drink,12,2.2,1.6,26.4,0,26.4,2023-09-27
TXN_789557,CUST_0739,In-store,Cash,Beverages,Bottled Water,26,1.05,0.72,27.3,0,27.3,2025-05-16
TXN_821544,CUST_0977,In-store,Credit Card,Beverages,Bottled Water,19,1.05,0.65,19.95,0,19.95,2023-08-15
TXN_419231,CUST_0348,In-store,Cash,Beverages,Soft Drink,8,2.2,1.59,17.6,0,17.6,2023-12-18
TXN_657411,CUST_0233,Online,Credit Card,Beverages,Energy Drink,22,2.99,2.18,65.78,0,65.78,2024-10-03
TXN_889255,CUST_0778,Online,Credit Card,Beverages,Energy Drink,16,2.99,2.57,47.84,0,47.84,2024-08-14
TXN_239229,CUST_0598,In-store,Cash,Beverages,Tea Pack,20,2.86,2.24,57.2,0,57.2,2024-06-01
TXN_350878,CUST_0102,In-store,Cash,Beverages,Bottled Water,51,1.05,0.87,53.55,0,53.55,2023-10-07
TXN_902013,CUST_0953,Online,Credit Card,Beverages,Tea Pack,13,2.86,2.31,37.18,0,37.18,2025-08-02
TXN_467991,CUST_0481,In-store,Cash,Beverages,Bottled Water,23,1.05,0.64,24.15,0,24.15,2023-08-10
TXN_783321,CUST_0214,Online,Credit Card,Beverages,Soft Drink,54,2.2,1.28,118.8,0.046,113.34,2023-08-24
TXN_488990,CUST_0108,In-store,Cash,Beverages,Energy Drink,12,2.99,1.8,35.88,0,35.88,2023-08-25
TXN_865790,CUST_0165,In-store,Cash,Beverages,Energy Drink,23,2.99,1.67,68.77,0,68.77,2025-04-16
TXN_793397,CUST_0973,In-store,Credit Card,Beverages,Soft Drink,6,2.2,1.44,13.2,0,13.2,2023-07-12
TXN_778123,CUST_0603,In-store,Credit Card,Beverages,Tea Pack,27,2.86,2.18,77.22,0,77.22,2024-09-27
TXN_944967,CUST_0704,In-store,Cash,Beverages,Tea Pack,17,2.86,2.04,48.62,0,48.62,2025-08-18
